"","...1","...2","duration..ms.","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","spec_rate","labels"
"144",139184,0.7416707,0.06772694,0.8058645,0.722,0.8382963,0.06227979,0.09287149,0,0.112,0.3396985,0.6184471,0.004021172,1
"145",68924,0.3803825,0.06177165,0.6097068,0.573,0.8443298,0.05202073,0.4799197,0,0.0971,0.2371859,0.3513571,0.003673108,0
"146",68610,0.3785404,0.06498996,0.6845298,0.688,0.8721586,0.06559585,0.1385542,0,0.114,0.198995,0.415358,0.004408667,1
"147",125444,0.6684489,0.06667809,0.6329626,0.274,0.7316891,0.5056995,0.9608434,0.00644,0.0898,0.3628141,0.4613042,0.03315075,0
"148",115457,0.6207184,0.07015389,0.5601618,0.667,0.7466091,0.0853886,0.008945783,0,0.801,0.8020101,0.4949652,0.005327431,1
"149",173940,0.920971,0.03804472,0.7209302,0.697,0.830049,0.03740933,0.02941767,0.000154,0.457,0.641206,0.5297616,0.004211793,1
"150",127842,0.6776596,0.05466377,0.7290192,0.85,0.8450002,0.06207254,0.184739,3.74e-05,0.244,0.9507538,0.4578813,0.004933951,1
"151",79521,0.4407597,0.0380728,0.6289181,0.846,0.8601073,0.03222798,0.003172691,0,0.0989,0.918593,0.4688785,0.003625891,1
"152",77428,0.4282209,0.02370857,0.4994944,0.339,0.7000405,0.2590674,0.7279116,0,0.105,0.3527638,0.392152,0.04551861,0
"153",55489,0.315015,0.05479947,0.7330637,0.845,0.8763836,0.3585492,0.04658635,0,0.135,0.5567839,0.4032805,0.0284317,1
"154",176565,0.9358413,0.05711074,0.4924166,0.621,0.83998,0.06310881,0.6034137,0,0.36,0.1949749,0.3642437,0.004808187,1
"155",135744,0.7225296,0.04743661,0.619818,0.909,0.8511428,0.03419689,0.1365462,0.773,0.0776,0.3959799,0.3899618,0.003116669,1
"156",177681,0.9416448,0.05715217,0.7239636,0.57,0.7891397,0.5740933,0.5040161,0,0.116,0.6100503,0.3049619,0.0437088,1
"157",157065,0.8318642,0.06879582,0.4206269,0.0818,0.5993109,0.03440415,0.75,0.317,0.118,0.06482412,0.5448087,0.002187744,0
"158",176059,0.9335171,0.083323,0.6835187,0.769,0.7773066,0.05544041,0.005471888,0.0256,0.131,0.8954774,0.498744,0.002924234,1
"159",155264,0.8238192,0.05356347,0.7674419,0.817,0.8870631,0.08310881,0.03504016,0,0.27,0.3909548,0.5931907,0.006737194,1
"160",134402,0.7158303,0.1161421,0.3114257,0.581,0.8027657,0.03502591,0.005702811,0,0.698,0.1035176,0.5389881,0.00133366,0
"161",86397,0.4738033,0.06958664,0.7977755,0.755,0.8126033,0.06373057,0.2279116,0.64,0.359,0.8040201,0.4748643,0.004007744,1
"162",38954,0.2248791,0.06114906,0.760364,0.823,0.8504568,0.09305699,0.005060241,1.11e-06,0.0766,0.3758794,0.5169767,0.006635538,1
